Dataset,N_test_mean,N_test_std,GCN_Acc_mean,GCN_Acc_std,SETTA_Acc_mean,SETTA_Acc_std,Delta_Acc_mean,Delta_Acc_std,Accepted_Test_mean,Accepted_Test_std,Accepted_Test_Ratio_mean,Accepted_Test_Ratio_std,Kept_Test_mean,Kept_Test_std,Changed_mean,Changed_std,Changed_Ratio_mean,Changed_Ratio_std,Changed_Accepted_mean,Changed_Accepted_std,Changed_Kept_mean,Changed_Kept_std,Wrong_to_Correct_mean,Wrong_to_Correct_std,Correct_to_Wrong_mean,Correct_to_Wrong_std,Wrong_to_Wrong_mean,Wrong_to_Wrong_std,Correct_to_Correct_mean,Correct_to_Correct_std,Net_Corrected_mean,Net_Corrected_std,Wrong_to_Correct_Rate_mean,Wrong_to_Correct_Rate_std,Correct_to_Wrong_Rate_mean,Correct_to_Wrong_Rate_std,Net_Corrected_Rate_mean,Net_Corrected_Rate_std,Accepted_GCN_Acc_mean,Accepted_GCN_Acc_std,Accepted_SETTA_Acc_mean,Accepted_SETTA_Acc_std,Accepted_Delta_Acc_mean,Accepted_Delta_Acc_std,Kept_GCN_Acc_mean,Kept_GCN_Acc_std,Kept_SETTA_Acc_mean,Kept_SETTA_Acc_std,Kept_Delta_Acc_mean,Kept_Delta_Acc_std,Used_Steps_mean,Used_Steps_std,Stopped_Early_mean,Stopped_Early_std
CS,14666.0,0.0,92.8945,0.0599,94.2582,0.0727,1.3637,0.0525,2158.9,60.8832,14.7204,0.4151,12507.1,60.8832,531.7,6.1473,3.6254,0.0419,531.7,6.1473,0.0,0.0,342.9,4.3063,142.9,4.7246,699.2,9.7843,13481.0,8.756,200.0,7.7028,2.3381,0.0294,0.9744,0.0322,1.3637,0.0525,67.2646,0.8324,76.5365,0.6034,9.2719,0.466,97.3154,0.0718,97.3154,0.0718,0.0,0.0,10.0,0.0,0.0,0.0
CiteSeer,1000.0,0.0,68.42,0.9378,71.5,0.665,3.08,0.9235,890.8,47.1117,89.08,4.7112,109.2,47.1117,169.2,4.9844,16.92,0.4984,169.2,4.9844,0.0,0.0,77.1,4.1486,46.3,5.9076,238.7,8.0146,637.9,5.8963,30.8,9.2352,7.71,0.4149,4.63,0.5908,3.08,0.9235,66.0719,1.6371,69.5465,1.1812,3.4746,1.0616,87.2215,1.134,87.2215,1.134,0.0,0.0,10.0,0.0,0.0,0.0
Computers,11002.0,0.0,89.4383,0.2171,89.6582,0.3504,0.22,0.2197,3289.4,172.9214,29.8982,1.5717,7712.6,172.9214,205.2,14.7859,1.8651,0.1344,205.2,14.7859,0.0,0.0,104.4,13.6398,80.2,13.1301,1057.6,27.3179,9759.8,32.9404,24.2,24.1698,0.9489,0.124,0.729,0.1193,0.22,0.2197,73.3997,0.9952,74.1508,1.047,0.751,0.7349,96.2661,0.1612,96.2661,0.1612,0.0,0.0,1.0,0.0,0.0,0.0
Cora,1000.0,0.0,80.48,0.4341,85.09,0.8239,4.61,0.6262,736.2,49.1614,73.62,4.9161,263.8,49.1614,128.2,10.1303,12.82,1.013,128.2,10.1303,0.0,0.0,78.3,3.164,32.2,7.7143,116.9,2.9609,772.6,10.4051,46.1,6.2619,7.83,0.3164,3.22,0.7714,4.61,0.6262,74.2486,1.169,80.5745,0.4172,6.326,1.1357,97.7655,0.5623,97.7655,0.5623,0.0,0.0,7.2,0.4216,1.0,0.0
Photo,6120.0,0.0,93.1781,0.076,93.634,0.0889,0.4559,0.1003,1251.4,56.1688,20.4477,0.9178,4868.6,56.1688,156.4,5.2111,2.5556,0.0851,156.4,5.2111,0.0,0.0,80.6,3.9777,52.7,3.2677,336.9,4.9989,5649.8,3.8816,27.9,6.1364,1.317,0.065,0.8611,0.0534,0.4559,0.1003,74.249,0.8072,76.4862,0.6994,2.2373,0.5297,98.0373,0.1084,98.0373,0.1084,0.0,0.0,1.0,0.0,0.0,0.0
PubMed,1000.0,0.0,78.93,0.2497,80.94,0.2011,2.01,0.3929,475.4,13.599,47.54,1.3599,524.6,13.599,85.7,3.4976,8.57,0.3498,85.7,3.4976,0.0,0.0,50.6,3.134,30.5,2.0683,160.1,1.5239,758.8,2.5734,20.1,3.9285,5.06,0.3134,3.05,0.2068,2.01,0.3929,68.2529,0.5672,72.4824,0.4596,4.2295,0.8289,88.6085,0.3628,88.6085,0.3628,0.0,0.0,10.0,0.0,0.0,0.0
