Dataset,Backbone,Seed,Frozen_Acc,SETTA_Acc,Delta,Improved,Tied,Worse,Test_Change_Rate,Test_Prob_L1_Shift,Alpha,Beta,K,Metric,Num_Props,Train_Time,SETTA_Time,Preprocess_Time,Used_Cache
Cora,GCN,42,80.9000015258789,85.50000190734863,4.600000381469727,1,0,0,12.400000542402267,0.5957841873168945,0.9,0.1,18,jaccard,10,0.0,0.07199189998209476,2.557139200042002,1
Cora,GCN,43,81.00000619888306,85.60000658035278,4.600000381469727,1,0,0,12.300000339746475,0.5975422263145447,0.9,0.1,18,jaccard,10,0.0,0.003931299899704754,2.557139200042002,1
Cora,GCN,44,79.90000247955322,84.00000333786011,4.100000858306885,1,0,0,14.900000393390656,0.6544954776763916,0.9,0.1,18,jaccard,10,0.0,0.004111699992790818,2.557139200042002,1
Cora,GCN,45,80.40000200271606,83.60000252723694,3.200000524520874,1,0,0,14.500001072883606,0.6741770505905151,0.9,0.1,18,jaccard,10,0.0,0.005088099977001548,2.557139200042002,1
Cora,GCN,46,80.60000538825989,85.60000658035278,5.0000011920928955,1,0,0,12.5,0.5909922122955322,0.9,0.1,18,jaccard,10,0.0,0.004059199942275882,2.557139200042002,1
Cora,GCN,47,79.70000505447388,84.20000672340393,4.500001668930054,1,0,0,12.800000607967377,0.6181070804595947,0.9,0.1,18,jaccard,10,0.0,0.0039004000136628747,2.557139200042002,1
Cora,GCN,48,80.80000281333923,85.80000400543213,5.0000011920928955,1,0,0,12.200000882148743,0.5988768339157104,0.9,0.1,18,jaccard,10,0.0,0.003851999994367361,2.557139200042002,1
Cora,GCN,49,80.50000667572021,85.80000400543213,5.299997329711914,1,0,0,12.200000882148743,0.5939196944236755,0.9,0.1,18,jaccard,10,0.0,0.0038894000463187695,2.557139200042002,1
Cora,GCN,50,80.20000457763672,85.50000190734863,5.299997329711914,1,0,0,12.200000882148743,0.6044997572898865,0.9,0.1,18,jaccard,10,0.0,0.003908099955879152,2.557139200042002,1
Cora,GCN,51,80.80000281333923,85.30000448226929,4.500001668930054,1,0,0,12.200000882148743,0.608170747756958,0.9,0.1,18,jaccard,10,0.0,0.003953999956138432,2.557139200042002,1
Cora,GraphSAGE,42,81.2000036239624,84.60000157356262,3.3999979496002197,1,0,0,14.300000667572021,0.618148684501648,0.9,0.1,18,jaccard,10,0.0,0.004106099950149655,2.557139200042002,1
Cora,GraphSAGE,43,78.7000060081482,84.3000054359436,5.59999942779541,1,0,0,14.900000393390656,0.6322753429412842,0.9,0.1,18,jaccard,10,0.0,0.0048970000352710485,2.557139200042002,1
Cora,GraphSAGE,44,79.10000085830688,83.00000429153442,3.900003433227539,1,0,0,15.200001001358032,0.6420309543609619,0.9,0.1,18,jaccard,10,0.0,0.004025300033390522,2.557139200042002,1
Cora,GraphSAGE,45,79.80000376701355,81.60000443458557,1.8000006675720215,1,0,0,14.100000262260437,0.6567374467849731,0.9,0.1,18,jaccard,10,0.0,0.0038406000239774585,2.557139200042002,1
Cora,GraphSAGE,46,77.90000438690186,83.30000638961792,5.4000020027160645,1,0,0,15.300001204013824,0.6596648693084717,0.9,0.1,18,jaccard,10,0.0,0.003835699986666441,2.557139200042002,1
Cora,GraphSAGE,47,80.10000586509705,85.9000027179718,5.799996852874756,1,0,0,14.500001072883606,0.6297551393508911,0.9,0.1,18,jaccard,10,0.0,0.00388329999987036,2.557139200042002,1
