dataset,seed,method,acc,train_time,post_time,runtime,one_time_preprocess,amortized_runtime
Cora,42,GCN,80.9000015258789,0.7007403000025079,0.0,0.7007403000025079,0.0,0.7007403000025079
Cora,42,C&S,81.5999984741211,0.7007403000025079,0.07260439998935908,0.773344699991867,0.0,0.773344699991867
Cora,42,SETTA,85.50000190734863,0.7007403000025079,0.02245690010022372,0.7231972001027316,2.543498700018972,0.9775470701046288
Cora,42,APPNP,81.30000233650208,0.40239920001477003,0.0,0.40239920001477003,0.0,0.40239920001477003
Cora,43,GCN,81.00000619888306,0.4415858000284061,0.0,0.4415858000284061,0.0,0.4415858000284061
Cora,43,C&S,81.49999976158142,0.4415858000284061,0.042056099977344275,0.48364190000575036,0.0,0.48364190000575036
Cora,43,SETTA,85.60000658035278,0.4415858000284061,0.0030037000542506576,0.44458950008265674,2.543498700018972,0.698939370084554
Cora,43,APPNP,81.30000233650208,0.40050430002156645,0.0,0.40050430002156645,0.0,0.40050430002156645
Cora,44,GCN,79.90000247955322,0.24905099999159575,0.0,0.24905099999159575,0.0,0.24905099999159575
Cora,44,C&S,80.9000015258789,0.24905099999159575,0.041138999979011714,0.29018999997060746,0.0,0.29018999997060746
Cora,44,SETTA,84.00000333786011,0.24905099999159575,0.0017042000545188785,0.2507552000461146,2.543498700018972,0.5051050700480119
Cora,44,APPNP,81.60000443458557,0.36253479996230453,0.0,0.36253479996230453,0.0,0.36253479996230453
Cora,45,GCN,80.40000200271606,0.254012200050056,0.0,0.254012200050056,0.0,0.254012200050056
Cora,45,C&S,80.19999861717224,0.254012200050056,0.04126760002691299,0.29527980007696897,0.0,0.29527980007696897
Cora,45,SETTA,83.60000252723694,0.254012200050056,0.0031287999590858817,0.25714100000914186,2.543498700018972,0.5114908700110391
Cora,45,APPNP,81.5000057220459,0.4055698000593111,0.0,0.4055698000593111,0.0,0.4055698000593111
Cora,46,GCN,80.60000538825989,0.6249184000771493,0.0,0.6249184000771493,0.0,0.6249184000771493
Cora,46,C&S,81.49999976158142,0.6249184000771493,0.04046089993789792,0.6653793000150472,0.0,0.6653793000150472
Cora,46,SETTA,85.60000658035278,0.6249184000771493,0.00287730002310127,0.6277957001002505,2.543498700018972,0.8821455701021478
Cora,46,APPNP,81.60000443458557,0.44268809992354363,0.0,0.44268809992354363,0.0,0.44268809992354363
Cora,47,GCN,79.70000505447388,0.33499680005479604,0.0,0.33499680005479604,0.0,0.33499680005479604
Cora,47,C&S,80.0000011920929,0.33499680005479604,0.03808510000817478,0.3730819000629708,0.0,0.3730819000629708
Cora,47,SETTA,84.20000672340393,0.33499680005479604,0.006981999962590635,0.3419788000173867,2.543498700018972,0.5963286700192839
Cora,47,APPNP,81.5000057220459,0.44992939999792725,0.0,0.44992939999792725,0.0,0.44992939999792725
Cora,48,GCN,80.80000281333923,0.4683131000492722,0.0,0.4683131000492722,0.0,0.4683131000492722
Cora,48,C&S,81.80000185966492,0.4683131000492722,0.038535499945282936,0.5068485999945551,0.0,0.5068485999945551
Cora,48,SETTA,85.80000400543213,0.4683131000492722,0.006283699884079397,0.4745967999333516,2.543498700018972,0.7289466699352488
Cora,48,APPNP,82.20000267028809,0.42454959999304265,0.0,0.42454959999304265,0.0,0.42454959999304265
Cora,49,GCN,80.50000667572021,0.5380610999418423,0.0,0.5380610999418423,0.0,0.5380610999418423
Cora,49,C&S,80.69999814033508,0.5380610999418423,0.0419240000192076,0.5799850999610499,0.0,0.5799850999610499
Cora,49,SETTA,85.80000400543213,0.5380610999418423,0.007014499977231026,0.5450755999190733,2.543498700018972,0.7994254699209705
Cora,49,APPNP,81.5000057220459,0.4266513000475243,0.0,0.4266513000475243,0.0,0.4266513000475243
Cora,50,GCN,80.20000457763672,0.49591449997387826,0.0,0.49591449997387826,0.0,0.49591449997387826
Cora,50,C&S,81.19999766349792,0.49591449997387826,0.04030280001461506,0.5362172999884933,0.0,0.5362172999884933
Cora,50,SETTA,85.50000190734863,0.49591449997387826,0.006989000015892088,0.5029034999897704,2.543498700018972,0.7572533699916676
Cora,50,APPNP,81.40000104904175,0.45879039994906634,0.0,0.45879039994906634,0.0,0.45879039994906634
Cora,51,GCN,80.80000281333923,0.5881583999143913,0.0,0.5881583999143913,0.0,0.5881583999143913
Cora,51,C&S,80.80000281333923,0.5881583999143913,0.04121549997944385,0.6293738998938352,0.0,0.6293738998938352
Cora,51,SETTA,85.30000448226929,0.5881583999143913,0.007187800016254187,0.5953461999306455,2.543498700018972,0.8496960699325428
Cora,51,APPNP,83.30000638961792,0.4366537000751123,0.0,0.4366537000751123,0.0,0.4366537000751123
CiteSeer,42,GCN,67.90000200271606,0.3514049000805244,0.0,0.3514049000805244,0.0,0.3514049000805244
CiteSeer,42,C&S,68.30000281333923,0.3514049000805244,0.0369527000002563,0.3883576000807807,0.0,0.3883576000807807
CiteSeer,42,SETTA,71.50000333786011,0.3514049000805244,0.006460100063122809,0.3578650001436472,14.709644600050524,1.8288294601486996
CiteSeer,42,APPNP,70.00000476837158,0.3730337000451982,0.0,0.3730337000451982,0.0,0.3730337000451982
CiteSeer,43,GCN,69.10000443458557,0.22381160000804812,0.0,0.22381160000804812,0.0,0.22381160000804812
CiteSeer,43,C&S,68.69999766349792,0.22381160000804812,0.04076749994419515,0.26457909995224327,0.0,0.26457909995224327
CiteSeer,43,SETTA,71.40000462532043,0.22381160000804812,0.003611200023442507,0.22742280003149062,14.709644600050524,1.698387260036543
CiteSeer,43,APPNP,69.50000524520874,0.39576310000848025,0.0,0.39576310000848025,0.0,0.39576310000848025
CiteSeer,44,GCN,68.80000233650208,0.21434040006715804,0.0,0.21434040006715804,0.0,0.21434040006715804
CiteSeer,44,C&S,68.30000281333923,0.21434040006715804,0.04109710000921041,0.25543750007636845,0.0,0.25543750007636845
CiteSeer,44,SETTA,71.20000123977661,0.21434040006715804,0.003598000039346516,0.21793840010650456,14.709644600050524,1.688902860111557
CiteSeer,44,APPNP,69.70000267028809,0.32703759998548776,0.0,0.32703759998548776,0.0,0.32703759998548776
CiteSeer,45,GCN,68.50000619888306,0.40403049997985363,0.0,0.40403049997985363,0.0,0.40403049997985363
CiteSeer,45,C&S,69.49999928474426,0.40403049997985363,0.04025179997552186,0.4442822999553755,0.0,0.4442822999553755
