Dataset,Alpha,Beta,Mean,Std
CiteSeer,0.4,0.1,71.33,0.73
CiteSeer,0.4,0.2,71.42,0.84
CiteSeer,0.4,0.3,71.06,0.84
CiteSeer,0.4,0.4,70.59,0.69
CiteSeer,0.4,0.5,70.3,0.91
CiteSeer,0.4,0.6,69.91,0.95
CiteSeer,0.4,0.7,69.66,1.02
CiteSeer,0.4,0.8,69.45,1.16
CiteSeer,0.4,0.9,69.44,0.99
CiteSeer,0.4,1.0,69.51,1.03
CiteSeer,0.5,0.0,69.11,0.69
CiteSeer,0.5,0.1,71.65,0.65
CiteSeer,0.5,0.2,70.95,0.72
CiteSeer,0.5,0.3,70.33,0.74
CiteSeer,0.5,0.4,69.83,0.9
CiteSeer,0.5,0.5,69.76,1.08
CiteSeer,0.5,0.6,69.46,0.99
CiteSeer,0.5,0.7,69.64,1.09
CiteSeer,0.5,0.8,69.45,0.92
CiteSeer,0.5,0.9,69.58,0.91
CiteSeer,0.5,1.0,69.56,0.99
CiteSeer,0.6,0.0,69.12,0.66
CiteSeer,0.6,0.1,71.5,0.63
CiteSeer,0.6,0.2,70.23,0.77
CiteSeer,0.6,0.3,69.76,0.83
CiteSeer,0.6,0.4,69.91,0.92
CiteSeer,0.6,0.5,69.64,0.88
CiteSeer,0.6,0.6,69.58,1.16
CiteSeer,0.6,0.7,69.34,0.84
CiteSeer,0.6,0.8,69.64,0.91
CiteSeer,0.6,0.9,69.43,0.93
CiteSeer,0.6,1.0,69.41,1.09
CiteSeer,0.7,0.0,69.19,0.71
CiteSeer,0.7,0.1,71.32,0.64
CiteSeer,0.7,0.2,69.83,0.98
CiteSeer,0.7,0.3,69.88,0.88
CiteSeer,0.7,0.4,69.73,1.06
CiteSeer,0.7,0.5,69.82,0.84
CiteSeer,0.7,0.6,69.46,1.16
CiteSeer,0.7,0.7,69.55,0.89
CiteSeer,0.7,0.8,69.63,0.83
CiteSeer,0.7,0.9,69.45,0.93
CiteSeer,0.7,1.0,69.41,1.1
CiteSeer,0.8,0.0,69.47,0.73
CiteSeer,0.8,0.1,70.84,0.69
CiteSeer,0.8,0.2,69.89,0.88
CiteSeer,0.8,0.3,69.79,0.93
CiteSeer,0.8,0.4,69.72,1.02
CiteSeer,0.8,0.5,69.88,0.93
CiteSeer,0.8,0.6,69.54,0.88
CiteSeer,0.8,0.7,69.27,1.13
CiteSeer,0.8,0.8,69.59,0.9
CiteSeer,0.8,0.9,69.73,0.91
CiteSeer,0.8,1.0,69.47,0.86
CiteSeer,0.9,0.0,69.47,0.65
CiteSeer,0.9,0.1,70.37,0.88
CiteSeer,0.9,0.2,69.92,0.89
CiteSeer,0.9,0.3,69.85,0.92
CiteSeer,0.9,0.4,69.96,0.85
CiteSeer,0.9,0.5,69.54,1.09
CiteSeer,0.9,0.6,69.91,0.72
CiteSeer,0.9,0.7,69.6,0.89
CiteSeer,0.9,0.8,69.33,0.87
CiteSeer,0.9,0.9,69.22,1.1
CiteSeer,0.9,1.0,69.13,0.84
PubMed,0.1,0.0,79.09,0.18
PubMed,0.1,0.1,79.6,0.24
PubMed,0.1,0.2,79.83,0.18
PubMed,0.1,0.3,79.85,0.14
PubMed,0.1,0.4,79.99,0.19
PubMed,0.1,0.5,80.09,0.22
PubMed,0.1,0.6,80.08,0.22
PubMed,0.1,0.7,80.16,0.16
